name	relationship	relationship_value	continent
Licensed to Learn Inc.	Grantees	5	North America
Linux Foundation	None	1	North America
Linuxing In London	Mozfest Facilitator	3	Europe
LLVM	Grantees	5
localization lab	None	1
Loup Design & Innovation	Open leaders	3	North America
lucy parsons labs	None	1	North America
M-Lab	IHR Contributors	4	North America
MaidSafe	Open leaders	3
Majal.org	Mozfest Facilitator	3
Majal.org	OWF Host Org Applicants	2
Make Works Ltd	Mozfest Facilitator	3	Europe
Makered.io	Open leaders	3
Mama Cash	None	1	Europe
Massachusetts Digital Services department	Open leaders	3	North America
Mastodon	None	1
May First/People Link	None	1	North America
MedCognition, Inc.	Grantees	5	North America
Media Democracy Fund	Mozfest Facilitator	3	North America
Media Democracy Fund	OWF Host Org Applicants	2	North America
Media Legal Defence Initiative	None	1	Europe
Media Matters for Democracy	None	1	Asia
Media Mobilizing Project	Mozfest Facilitator	3	North America
Media Mobilizing Project	OWF Host Org Applicants	2	North America
Meedan	OWF Host Org Applicants	2	North America
Mercurial	Grantees	5
Met Office Informatics Lab	Mozfest Facilitator	3	Europe
Metamorphosis Foundation	None	1
Metropolitan New York Library Council	Mozfest Facilitator	3	North America
Metropolitan New York Library Council	Grantees	5	North America
MIT Media Lab	Funders	5	North America
MIT Media Lab	Grantees	5	North America
MIT Media Lab	Open leaders	3	North America
mod_md	Grantees	5
Modern Poland Foundation	Grantees	5	Europe
MongoDB, Inc.	Open leaders	3	North America
Motion Media Arts Center	Grantees	5	North America
Motoon	None	1
MOUSE Inc.	Grantees	5	North America
MPower Change	OWF Host Org Applicants	2	North America
Mu Sigma Inc.	Mozfest Facilitator	3	North America
Multnomah County Library	Grantees	5	North America
Multnomah County Library	Mozfest Facilitator	3	North America
Museum of Science and Industry	Grantees	5	North America
Muslim Advocates	OWF Host Org Applicants	2	North America
Myanmar ICT for Development Organization	None	1	Asia
namibian youth for community upliftmend	OWF Host Org Applicants	2
National Cyber Security Alliance	Grantees	5	North America
National Digital Inclusion Alliance	Mozfest Facilitator	3
National Museum of Mexican Art	Grantees	5	North America
National Science Foundation	Funders	5	North America
Neighborhood Economic Development Corporation	Grantees	5	North America
Netflix	Funders	5	North America
Netgov	IHR Contributors	4
Netroots Foundation	Grantees	5	North America
Netsquared	OWF Host Org Applicants	2
Netzpolitik.org	OWF Host Org Applicants	2	Europe
NeuroTechX	Mozfest Facilitator	3	North America
NeuroTechX	Open leaders	3	North America
New America Foundation	Grantees	5	North America
New America Foundation	Mozfest Facilitator	3	North America
New America Foundation	Open leaders	3	North America
New America Foundation	OWF Host Org Applicants	2	North America
new freedome program	None	1
New School Digital Equity Lab	None	1	North America
New York City Department of Education	Mozfest Facilitator	3	North America
New York City Foundation for Computer Science Education	Open leaders	3	North America
New York Civil Liberties Union	OWF Host Org Applicants	2	North America
New York Community Trust	Funders	5	North America
New York Community Trust	Grantees	5	North America
New York Hall of Science (NYSCI)	Open leaders	3	North America
New York Public Library	None	1	North America
Newbook DIgital Texts	Open leaders	3	North America
News Integrity Intiative	Funders	5	North America
NEXMAP	Mozfest Facilitator	3	North America
NEXMAP	Open leaders	3	North America
Next Century Cities	OWF Host Org Applicants	2	North America
NL Net Foundation (Netherlands)	None	1	Europe
Nodo TAU	None	1	South America
NonVisual Desktop Access	Grantees	5	Oceania
North Park Village Nature Center of the Chicago Park District	Grantees	5	North America
Northern Ireland Raspberry Jam	Mozfest Facilitator	3	Europe
Núcleo de Pesquisas, Estudos e Formação	None	1	South America
Nucleus Learning Network	Mozfest Facilitator	3	North America
Nucleus Learning Network	Open leaders	3	North America
NYC Mayor's Office of Data Analytics (MODA)	Open leaders	3	North America
O Foundation	Open leaders	3	Asia
Ocado	Mozfest Facilitator	3	Europe
Ogunte	None	1	Europe
Omidyar Network	None	1	North America
One World Platform	None	1	Europe
Open Austin	Mozfest Facilitator	3	North America
Open Austin	Open leaders	3	North America
Open Data Institute	OWF Host Org Applicants	2	Europe
