relationship	name	website	twitter	city	country	continent	lat	lon	relationship_value
Mozfest Speakers	Derechos Digitales	https://www.derechosdigitales.org/	derechosdigital	Santiago	Chile	South America	-33.45	-70.66666667	4
None	Derechos Digitales	https://www.derechosdigitales.org/	derechosdigital	Santiago	Chile	South America	-33.45	-70.66666667	1
OWF Host Org Applicants	Derechos Digitales	https://www.derechosdigitales.org/	derechosdigital	Santiago	Chile	South America	-33.45	-70.66666667	3
None	Derechos Digitales	https://www.derechosdigitales.org/	derechosdigital	Santiago	Chile	South America	-33.45	-70.66666667	1
Mozfest Facilitator	designswarm	http://designswarm.com/		London	United Kingdom	Europe	51.50722222	-0.1275	4
None	Detroit Community Technology Project	http://detroitcommunitytech.org/	DetCommTech	Detroit	United States of America	North America	42.33166667	-83.0475	1
Open leaders	Detroit Community Technology Project	http://detroitcommunitytech.org/	DetCommTech	Detroit	United States of America	North America	42.33166667	-83.0475	4
None	Deutsche Gesellschaft für Internationale Zusammenarbeit	http://www.giz.de/	giz_gmbh	Bonn	Germany	Europe	50.73388889	7.099722222	1
IHR Contributors	Digital Asia Hub	https://www.digitalasiahub.org/	digitalasiahub	Hong Kong	People's Republic of China	Asia	22.27833333	114.1586111	4
None	Digital Asia Hub	https://www.digitalasiahub.org/	digitalasiahub	Hong Kong	People's Republic of China	Asia	22.278333	114.158611	1
None	Digital Citizen Summit	http://www.digcitsummit.com/	digcitsummit						1
None	Digital Empowerment Foundation (DEF)	http://www.defindia.net/			India	Asia			1
None	Digital Freedom Fund	https://digitalfreedomfund.org/	df_fund	Amsterdam	Netherlands	Europe	52.38333333	4.9	1
Open leaders	Digital Grassroots	https://www.digitalgrassroots.org/	digigrassroots						4
Grantees	Digital Opportunity Trust	https://www.dotrust.org/	DigitalOppTrust	Ottawa	Canada	North America	45.41666667	-75.7	5
OWF Host Org Applicants	Digital Opportunity Trust	https://www.dotrust.org/	DigitalOppTrust	Ottawa	Canada	North America	45.41666667	-75.7	3
None	digital opportunity trust, kenya	https://kenya.dotrust.org/	DOTKenya	Nairobi	Kenya	Africa	-1.283333333	36.81666667	1
None	digital rights foundation	https://digitalrightsfoundation.pk/	digitalrightsPK						1
Mozfest Speakers	Digital Rights Foundation Pakistan	https://digitalrightsfoundation.pk/	digitalrightsPK						4
OWF Host Org Applicants	Digital Rights Watch	http://digitalrightswatch.org.au/	DRWaus	Sydney	Australia	Oceania	-33.86666667	151.2	3
Grantees	Digital Security Exchange	https://digitalsecurityexchange.org/	levjoy	Northampton	United States of America	North America	42.325	-72.64166667	5
OWF Host Org Applicants	Digital Society of Zimbabwe	http://www.dszim.org/	digisoczim						3
None	Digitale Gesellschaft	https://digitalegesellschaft.de/	digiges	Berlin	Germany	Europe	52.51666667	13.38333333	1
None	DigitalMe	https://www.digitalme.co.uk/	digitalme_	Leeds	United Kingdom	Europe	53.79972222	-1.549166667	1
None	diplo foundation through their internet governance courses	https://www.diplomacy.edu/	DiplomacyEdu	Geneva	Switzerland	Europe	46.2	6.15	1
Grantees	Discourse	https://www.discourse.org/	discourse						5
Grantees	Disruption Network Lab e.V.	http://www.disruptionlab.org/	disruptberlin	Berlin	Germany	Europe	52.51666667	13.38333333	5
Grantees	Django	https://www.djangoproject.com/	djangoproject						5
Grantees	Django REST Framework	http://www.django-rest-framework.org/	restframework						5
Grantees	DNSSEC/DANE Chain Stapling								5
Mozfest Facilitator	DocuBricks	https://docubricks.com/		Cambridge	United States of America	North America	42.375	-71.10611111	4
Open leaders	DocuBricks	https://docubricks.com/		Cambridge	United States of America	North America	42.375	-71.10611111	4
Mozfest Facilitator	Doscom - Dinus Open Source Community	https://doscom.org/	doscomedia	Semarang	Indonesia	Asia	-6.966666667	110.4166667	4
OWF Host Org Applicants	Doteveryone	https://doteveryone.org.uk/	doteveryoneuk	London	United Kingdom	Europe	51.50722222	-0.1275	3
